_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
199,199,398,Sts Cosmas and Damian,111 Danesbury Ave,North York,M6B 3L3,E,Open,"{'type': 'Point', 'coordinates': (-79.44556836026054, 43.70659005691607)}"
200,200,414,The Divine Infant,30 Ingleton Blvd,Scarborough,M1V 3H7,E,Open,"{'type': 'Point', 'coordinates': (-79.27033145450046, 43.82181149747291)}"
201,201,276,Transfiguration,55 Ludstone Dr,Etobicoke,M9R 2J2,E,Open,"{'type': 'Point', 'coordinates': (-79.56287072860006, 43.69152125868177)}"
202,202,417,The Holy Trinity,6 Colonel Samuel Smith Park Dr,Etobicoke,M8V 4B7,E,Open,"{'type': 'Point', 'coordinates': (-79.51711295792693, 43.597276344325806)}"
203,203,397,Venerable John Merlini,123 Whitfield Ave,North York,M9L 1G9,E,Open,"{'type': 'Point', 'coordinates': (-79.57938355985873, 43.7564805895832)}"
204,204,247,Our Lady of Victory,70 Guestville Ave,York,M6N 4N3,E,Open,"{'type': 'Point', 'coordinates': (-79.49031478460353, 43.6833211279024)}"
205,205,255,St Edward,1 Botham Rd,North York,M2N 2J6,E,Open,"{'type': 'Point', 'coordinates': (-79.41340608319015, 43.75395181526279)}"
206,206,239,Our Lady of Perpetual Help,1 1/2 Garfield Ave,former Toronto,M4T 1E6,E,Open,"{'type': 'Point', 'coordinates': (-79.38330488198251, 43.687298491386)}"
207,207,291,St Josaphat,110 Tenth St,Etobicoke,M8V 3G1,E,Open,"{'type': 'Point', 'coordinates': (-79.50905953419023, 43.599298558339484)}"
208,208,412,North East SAL Program,100 Fundy Bay Blvd,Scarborough,M1W 3G1,AL,Open,"{'type': 'Point', 'coordinates': (-79.31660336666197, 43.809350538890754)}"
209,209,848,East Facilities,97 Railside Rd,North York,M3A 1B2,ADM,Open,"{'type': 'Point', 'coordinates': (-79.32406504978587, 43.73550978644503)}"
210,210,849,West Facilities,18 Beverly Hills Dr,North York,M3L 1A1,ADM,Open,"{'type': 'Point', 'coordinates': (-79.5096033382954, 43.71906012686066)}"
